DATE,PALLFNFINDEXM_PCH
2003-02-01,7.66175
2003-03-01,-6.42236
2003-04-01,-6.01788
2003-05-01,1.93131
2003-06-01,2.05878
2003-07-01,-1.66946
2003-08-01,1.82025
2003-09-01,0.09669
2003-10-01,4.58235
2003-11-01,-0.10791
2003-12-01,4.63684
2004-01-01,3.71179
2004-02-01,-0.33302
2004-03-01,3.64000
2004-04-01,1.24795
2004-05-01,4.27513
2004-06-01,-1.70101
2004-07-01,1.70338
2004-08-01,1.55154
2004-09-01,-0.45428
2004-10-01,7.19826
2004-11-01,-3.08879
2004-12-01,-1.38243
2005-01-01,3.46216
2005-02-01,2.36193
2005-03-01,8.09277
2005-04-01,-0.47394
2005-05-01,-2.62424
2005-06-01,4.21971
2005-07-01,2.49101
2005-08-01,6.08772
2005-09-01,3.74035
2005-10-01,-0.47241
2005-11-01,-5.58169
2005-12-01,4.92694
2006-01-01,1.62340
2006-02-01,-1.66414
2006-03-01,0.67512
2006-04-01,8.30519
2006-05-01,3.62461
2006-06-01,-2.22250
2006-07-01,3.82644
2006-08-01,0.57332
2006-09-01,-8.00432
2006-10-01,-1.60762
2006-11-01,2.38108
2006-12-01,1.85991
2007-01-01,-3.98192
2007-02-01,5.25078
2007-03-01,2.33480
2007-04-01,5.72210
2007-05-01,0.32457
2007-06-01,0.34964
2007-07-01,1.98315
2007-08-01,-3.28919
2007-09-01,5.05061
2007-10-01,5.76973
2007-11-01,5.94234
2007-12-01,-0.02238
2008-01-01,4.61211
2008-02-01,4.48119
2008-03-01,6.20429
2008-04-01,3.76576
2008-05-01,6.77876
2008-06-01,5.09826
2008-07-01,1.61755
2008-08-01,-10.69946
2008-09-01,-8.38335
2008-10-01,-18.24714
2008-11-01,-15.16237
2008-12-01,-10.91642
2009-01-01,2.78676
2009-02-01,-3.54359
2009-03-01,0.02053
2009-04-01,2.17441
2009-05-01,8.24519
2009-06-01,8.09136
2009-07-01,-3.69043
2009-08-01,5.63943
2009-09-01,-2.86566
2009-10-01,6.20823
2009-11-01,3.84317
2009-12-01,1.98673
2010-01-01,4.28417
2010-02-01,-2.36056
2010-03-01,3.33007
2010-04-01,5.56044
2010-05-01,-5.87326
2010-06-01,-2.06562
2010-07-01,0.17108
2010-08-01,2.75558
2010-09-01,1.85465
2010-10-01,5.30351
2010-11-01,3.36181
2010-12-01,5.68607
2011-01-01,3.70543
2011-02-01,3.74996
2011-03-01,3.34627
2011-04-01,5.06651
2011-05-01,-3.65851
2011-06-01,-0.96098
2011-07-01,1.36257
2011-08-01,-2.30054
2011-09-01,-1.10102
2011-10-01,-3.52715
2011-11-01,1.34103
2011-12-01,-1.84173
2012-01-01,1.63501
2012-02-01,3.10167
2012-03-01,2.24251
2012-04-01,-1.60465
2012-05-01,-5.90690
2012-06-01,-6.49983
2012-07-01,3.22906
2012-08-01,2.78540
2012-09-01,1.00757
2012-10-01,-0.92701
2012-11-01,-1.36302
2012-12-01,0.46365
2013-01-01,2.43742
2013-02-01,0.84882
2013-03-01,-2.60588
2013-04-01,-1.90337
2013-05-01,-0.68565
2013-06-01,-1.47490
2013-07-01,1.19384
2013-08-01,1.58657
2013-09-01,-0.37298
2013-10-01,-1.58309
2013-11-01,-1.03118
2013-12-01,2.18367
2014-01-01,-0.71320
2014-02-01,2.58170
2014-03-01,-0.67939
2014-04-01,0.68792
2014-05-01,-1.30881
2014-06-01,0.18619
2014-07-01,-2.00734
2014-08-01,-3.34601
2014-09-01,-3.17152
2014-10-01,-5.56645
2014-11-01,-4.66531
2014-12-01,-9.57108
2015-01-01,-9.51413
2015-02-01,2.94506
2015-03-01,-3.41569
2015-04-01,1.11876
2015-05-01,3.35292
2015-06-01,-1.84599
2015-07-01,-5.80135
2015-08-01,-6.58211
2015-09-01,-0.15382
2015-10-01,-0.04413
2015-11-01,-5.95327
2015-12-01,-5.68718
2016-01-01,-5.98468
2016-02-01,2.40096
2016-03-01,7.13942
2016-04-01,3.36501
2016-05-01,3.95161
2016-06-01,2.61189
2016-07-01,-0.36912
2016-08-01,0.46450
2016-09-01,0.04894
2016-10-01,3.10897
2016-11-01,-1.05476
2016-12-01,5.87711
2017-01-01,3.82428
2017-02-01,0.39456
2017-03-01,-4.72723
2017-04-01,0.09721
2017-05-01,-1.92664
2017-06-01,-2.93484
2017-07-01,2.68647
2017-08-01,2.66424
2017-09-01,2.86943
2017-10-01,1.32528
2017-11-01,4.10291
2017-12-01,1.43044
2018-01-01,5.92450
2018-02-01,-2.32429
2018-03-01,-0.36084
2018-04-01,1.58392
2018-05-01,3.64915
2018-06-01,-0.81386
2018-07-01,-1.28286
2018-08-01,-1.76360
2018-09-01,3.47614
2018-10-01,0.75528
2018-11-01,-8.67390
2018-12-01,-4.83367
2019-01-01,0.96187
2019-02-01,1.65127
2019-03-01,0.75498
2019-04-01,2.92444
2019-05-01,-2.38152
2019-06-01,-4.10749
2019-07-01,2.11117
2019-08-01,-4.45517
2019-09-01,1.86030
2019-10-01,-1.56787
2019-11-01,3.51557
2019-12-01,2.57343
2020-01-01,-0.35524
2020-02-01,-7.21473
2020-03-01,-15.51230
2020-04-01,-10.41276
2020-05-01,8.76879
2020-06-01,9.35205
2020-07-01,3.20933
2020-08-01,5.67152
2020-09-01,-0.65982
2020-10-01,2.22471
2020-11-01,4.09368
2020-12-01,9.02644
2021-01-01,9.44549
2021-02-01,2.30878
2021-03-01,0.48369
2021-04-01,2.68645
2021-05-01,6.93553
2021-06-01,3.55391
2021-07-01,2.89831
2021-08-01,-1.06035
2021-09-01,5.24504
2021-10-01,11.28954
2021-11-01,-4.38572
2021-12-01,1.83603
2022-01-01,2.41710
2022-02-01,6.46136
2022-03-01,18.55830
2022-04-01,-6.04707
